Date,Site,Sub site,Compound Site,Sample Type,Year,Month,Day,Site Type,SRP ,NH4 ,TDN ,TDP ,Seston P,TP
7/17/12,DB,U,DB-U,sw,2012,7,17,u,,,,,,
8/20/12,DB,U,DB-U,sw,2012,8,20,u,,,,,,
9/30/12,DB,U,DB-U,sw,2012,9,30,u,,,,,,
11/11/12,DB,U,DB-U,sw,2012,11,11,u,,,,,,
4/4/13,DB,U,DB-U,sw,2013,4,4,u,,,,,,
5/15/13,DB,U,DB-U,sw,2013,5,15,u,,,,,,
6/11/13,DB,U,DB-U,sw,2013,6,11,u,0.639,1.276,64.084,1.459299649,,
7/1/13,DB,U,DB-U,sw,2013,7,1,u,,,,,,
8/5/13,DB,U,DB-U,sw,2013,8,5,u,,,,,,
10/16/13,DB,U,DB-U,sw,2013,10,16,u,,,,,,
6/18/12,DL,L,DL-L,sw,2012,6,18,m,0.699,1.551,37.724,0.694135895,,
7/17/12,DL,L,DL-L,sw,2012,7,17,m,0.225,6.78,50.521,0.54239456,,
8/20/12,DL,L,DL-L,sw,2012,8,20,m,0.455,11.21,117.555,0.629565114,,
9/30/12,DL,L,DL-L,sw,2012,9,30,m,0.491,6.51,97.148,0.606965341,3.40E-07,1.438432007
11/11/12,DL,L,DL-L,sw,2012,11,11,m,,,,,,
4/4/13,DL,L,DL-L,sw,2013,4,4,m,,,,,,
5/15/13,DL,L,DL-L,sw,2013,5,15,m,18.2574209,2.322,48.318,,,
6/11/13,DL,L,DL-L,sw,2013,6,11,m,0.7235,1.609,47.485,0.958876097,,
7/1/13,DL,L,DL-L,sw,2013,7,1,m,0.5645,0.656,50.071,0.739335441,,
8/5/13,DL,L,DL-L,sw,2013,8,5,m,0.5817,0.484,36.223,0.322853905,,
10/16/13,DL,L,DL-L,sw,2013,10,16,m,0.2536,4.72,52.793,0.497195013,,
6/18/12,DL,M,DL-M,sw,2012,6,18,m,,,,,,
7/17/12,DL,M,DL-M,sw,2012,7,17,m,,,,,,
8/20/12,DL,M,DL-M,sw,2012,8,20,m,,,,,,
9/30/12,DL,M,DL-M,sw,2012,9,30,m,,,,,,
11/11/12,DL,M,DL-M,sw,2012,11,11,m,,,,,,
4/4/13,DL,M,DL-M,sw,2013,4,4,m,,,,,,
5/15/13,DL,M,DL-M,sw,2013,5,15,m,,,,,,
6/11/13,DL,M,DL-M,sw,2013,6,11,m,4.2177,2.356,50.088,5.995397008,,
7/1/13,DL,M,DL-M,sw,2013,7,1,m,,,,,,
8/5/13,DL,M,DL-M,sw,2013,8,5,m,,,,,,
10/16/13,DL,M,DL-M,sw,2013,10,16,m,,,,,,
6/18/12,DL,U,DL-U,sw,2012,6,18,m,,,,,,
7/17/12,DL,U,DL-U,sw,2012,7,17,m,,,,,,
8/20/12,DL,U,DL-U,sw,2012,8,20,m,,,,,,
9/30/12,DL,U,DL-U,sw,2012,9,30,m,,,,,,
11/11/12,DL,U,DL-U,sw,2012,11,11,m,,,,,,
4/4/13,DL,U,DL-U,sw,2013,4,4,m,,,,,,
5/15/13,DL,U,DL-U,sw,2013,5,15,m,0.201,9.61,,0.674764661,,
6/11/13,DL,U,DL-U,sw,2013,6,11,m,2.2048,1.097,44.568,2.686144486,,
7/1/13,DL,U,DL-U,sw,2013,7,1,m,,,,,,
8/5/13,DL,U,DL-U,sw,2013,8,5,m,,,,,,
10/16/13,DL,U,DL-U,sw,2013,10,16,m,,,,,,
6/18/12,DR,L,DR-L,sw,2012,6,18,u,0.412,1.452,27.611,0.564994333,,
7/17/12,DR,L,DR-L,sw,2012,7,17,u,,,,,,
8/20/12,DR,L,DR-L,sw,2012,8,20,u,0.372,6.56,20.783,0.345453678,,
9/30/12,DR,L,DR-L,sw,2012,9,30,u,,,,,,
11/11/12,DR,L,DR-L,sw,2012,11,11,u,,,,,,
4/4/13,DR,L,DR-L,sw,2013,4,4,u,,,,,,
5/15/13,DR,L,DR-L,sw,2013,5,15,u,0.2903,9.165,38.812,0.564994333,,
6/11/13,DR,L,DR-L,sw,2013,6,11,u,1.1216,2.654,43.141,1.046046651,,
7/1/13,DR,L,DR-L,sw,2013,7,1,u,0.826,5.963,35.033,0.871705542,,
8/5/13,DR,L,DR-L,sw,2013,8,5,u,0.8319,7.917,47.599,0.519794786,,
10/16/13,DR,L,DR-L,sw,2013,10,16,u,,,,,,
6/18/12,DR,M,DR-M,sw,2012,6,18,u,,,,,,
7/17/12,DR,M,DR-M,sw,2012,7,17,u,,,,,,
8/20/12,DR,M,DR-M,sw,2012,8,20,u,,,,,,
9/30/12,DR,M,DR-M,sw,2012,9,30,u,,,,,,
11/11/12,DR,M,DR-M,sw,2012,11,11,u,,,,,,
4/4/13,DR,M,DR-M,sw,2013,4,4,u,,,,,,
5/15/13,DR,M,DR-M,sw,2013,5,15,u,,,,,,
6/11/13,DR,M,DR-M,sw,2013,6,11,u,0.8748,4.871,47.046,0.891076777,,
7/1/13,DR,M,DR-M,sw,2013,7,1,u,2.1558,1.022,66.068,2.356833503,,
8/5/13,DR,M,DR-M,sw,2013,8,5,u,2.0095,0.944,39.897,0.826505996,,
